Number,Name,Nickname,City,StateProv,Country,RookieYear,RobotName,HasConnected
118,"NASA-Johnson Space Center & Clear Creek Independent School District","Robonauts","Houston","Texas","USA",1997,"",false
254,"NASA Ames Research Center/Greg & Gloria Shean/West Coast Products/Swerve Drive Specialties/Fabworks/Vivid-Hosting/AMEX Plating/Gilbert Spray Coat/LinkedIn/Johnson & Johnson MedTech/The McNamara Family/Apple/Boeing/BAE Systems/The Gu Family/NVIDIA/Intuitive Foundation/Lockheed Martin/FIRST NorCal/Dropbox/SolidWorks&Bellarmine College Preparatory","The Cheesy Poofs","San Jose","California","USA",1999,"",false
1501,"PHD, Inc./YRG Robotics/Ecolab/Huntington County Community Learning Center/Carrier/BAE Systems/AEP/Apollo Casters/First Indiana Robotics/Community Link FCU/Raytheon/Shuttleworth/Huntington County 4H/Pretzels/Deister&4-H","Team THRUST","Huntington","Indiana","USA",2005,"",false
1678,"Davis Joint Unified School District/UC Davis/TechnipFMC/Lockheed Martin/Bayer/Intuitive/Recology/West Coast Products/American Council of Engineering Companies/Niemela Capitol Concepts/BAE/UCD College of Agricultural & Environmental Science/UCD College of Global Affairs/Cedaron/PG&E/FIRST Northern California/Law Office of Michael J. Harrington/M.CUBED/West Yost /Energeia&Davis Senior High School","Citrus Circuits","Davis","California","USA",2005,"",false
4144,"NASA & Animo Inglewood Charter High School","Semi con-duck-tors","Inglewood","CA","USA",2012,"",false
7457,"The Thrifty Bot/PTC/Mundell & Associates/Indiana Gear Up/Purdue University&Purdue Polytechnic High School","suPURDUEper Robotics","Indianapolis","Indiana","USA",2019,"",false
